Polarization of Light 'Brewsters' Data File Tue, Feb 07, 2023 11:33 AM
Sensor Position (Degrees)	Light Intensity (Volts)
121.55000	0.66812
121.50000	0.00446
121.46667	0.09096
121.43333	-0.00118
121.41667	0.03877
121.41667	-0.00134
121.40000	0.00059
121.40000	0.10352
121.40000	-0.00086
121.40000	0.04392
121.40000	-0.00150
121.40000	0.00108
121.40000	0.65217
121.40000	0.00188
121.40000	0.58774
121.38333	0.00349
121.40000	0.06760
121.40000	-0.00295
121.40000	0.00929
121.38333	0.77523
121.36667	0.00285
121.33333	0.05375
121.31667	-0.00070
121.31667	0.00881
121.31667	0.05745
121.30000	-0.00215
121.28333	0.00849
121.21667	0.62317
121.15000	-0.00086
121.11667	0.00414
121.05000	0.05230
121.00000	-0.00182
120.95000	0.00639
120.81667	0.05633
120.63333	0.00043
120.40000	0.00897
120.16667	0.62205
119.91667	-0.00134
119.71667	0.00156
119.55000	0.58516
119.41667	-0.00037
119.23333	0.00172
119.05000	0.57872
118.85000	-0.00198
118.61667	0.45935
118.40000	-0.00182
118.18333	0.00108
118.01667	0.61125
117.88333	-0.00070
117.76667	0.43809
117.65000	-0.00198
117.53333	0.12495
117.41667	-0.00070
117.26667	-0.00118
117.13333	0.12157
116.98333	-0.00198
116.88333	0.08339
116.80000	-0.00279
116.73333	-0.00182
116.68333	0.11867
116.65000	-0.00118
116.61667	0.01783
116.56667	0.67826
116.48333	0.00510
116.41667	0.59853
116.36667	-0.00198
116.31667	0.48593
116.26667	-0.00231
116.21667	0.12173
116.11667	-0.00150
116.03333	0.08468
115.93333	-0.00150
115.85000	-0.00166
115.76667	0.00220
115.73333	0.59805
115.70000	-0.00247
115.66667	0.43181
115.61667	-0.00086
115.53333	0.12044
115.43333	-0.00215
115.30000	0.08049
115.20000	-0.00311
115.11667	0.00688
115.03333	0.05713
114.95000	-0.00150
114.88333	0.00639
114.80000	0.07405
114.71667	-0.00053
114.63333	-0.00182
114.51667	0.11126
114.36667	-0.00086
114.18333	0.08242
114.00000	-0.00053
113.78333	0.01026
113.60000	0.05987
113.40000	-0.00166
113.21667	0.00784
113.06667	0.06390
112.90000	-0.00150
112.75000	0.00913
112.60000	0.06052
112.41667	-0.00166
112.23333	0.00977
112.03333	0.71032
111.88333	0.00398
111.75000	0.05439
111.63333	-0.00118
111.53333	0.00961
111.45000	0.06825
111.38333	-0.00118
111.33333	-0.00166
111.26667	0.11915
111.20000	-0.00150
111.10000	-0.00150
111.00000	0.11432
